
#=============================================================
#  JobUsageRecords for the Probes with ridiculous efficiency 
#  Start: Sat Sep 14 20:43:52 CDT 2013
#  Probe: pbs:ce.grid.unesp.br
#=============================================================

mysql --table --unbuffered --host=gr-osg-mysql-reports.opensciencegrid.org --port=3306 -u reader -preader gratia
   SELECT
      jur.dbid as dbid
     ,CpuSystemDuration 
     ,CpuUserDuration
     ,WallDuration
     ,Processors
     ,(WallDuration * IFNULL(Processors,1)) as Wall_w_Cores
     ,round((CpuSystemDuration + CpuUserDuration)/(WallDuration * IFNULL(Processors,1)) * 100,0) as Efficiency
   FROM
      JobUsageRecord_Meta meta
     ,JobUsageRecord jur
   WHERE
    meta.ProbeName = "pbs:ce.grid.unesp.br"
AND meta.ServerDate >= "2013-06-01"
-- AND meta.ServerDate <  "2013-09-15"
AND meta.dbid = jur.dbid
AND jur.EndTime >= "2013-06-01"
AND jur.EndTime < "2013-09-15"
AND (CpuSystemDuration + CpuUserDuration)/(WallDuration * IFNULL(Processors,1)) * 100 > 2500

   order by
     dbid
;

+------------+-------------------+-----------------+--------------+------------+--------------+------------+
| dbid       | CpuSystemDuration | CpuUserDuration | WallDuration | Processors | Wall_w_Cores | Efficiency |
| 1108927001 |                 0 |     18458176426 |      1432243 |          1 |      1432243 |    1288760 | 
| 1108927002 |                 0 |     28572319705 |      1422058 |          1 |      1422058 |    2009223 | 
| 1108927003 |                 0 |     18455320540 |      1550677 |          1 |      1550677 |    1190146 | 
| 1108927004 |                 0 |     21536644656 |      1229388 |          1 |      1229388 |    1751818 | 
| 1108927005 |                 0 |     18457097723 |      1296875 |          1 |      1296875 |    1423198 | 
| 1108927027 |                 0 |     26788670631 |      1429571 |          1 |      1429571 |    1873896 | 
| 1108927029 |                 0 |     18459140247 |      1552970 |          1 |      1552970 |    1188635 | 
| 1108927030 |                 0 |     18455320389 |      1423026 |          1 |      1423026 |    1296907 | 
| 1108927031 |                 0 |     18455320390 |      1421530 |          1 |      1421530 |    1298272 | 
| 1108927033 |                 0 |     18455319976 |      1431000 |          1 |      1431000 |    1289680 | 
| 1108927036 |                 0 |     18458084766 |      1420616 |          1 |      1420616 |    1299301 | 
| 1108927038 |                 0 |     19587100396 |      1422308 |          1 |      1422308 |    1377135 | 
| 1108927039 |                 0 |     18459113010 |      1549470 |          1 |      1549470 |    1191318 | 
| 1109192361 |                 0 |     18453965600 |       908735 |          1 |       908735 |    2030731 | 
| 1109200728 |                 0 |     18456509277 |      1255027 |          1 |      1255027 |    1470607 | 
| 1109924370 |                 0 |     18455889092 |      1176344 |          1 |      1176344 |    1568919 | 
| 1110429551 |                 0 |     18458023634 |      1438542 |          1 |      1438542 |    1283106 | 
| 1110542194 |                 0 |     18458120394 |      1458802 |          1 |      1458802 |    1265293 | 
| 1110594630 |                 0 |     18456710813 |      1275098 |          1 |      1275098 |    1447474 | 
| 1111095638 |                 0 |     18451573059 |       646012 |          1 |       646012 |    2856228 | 
| 1111246652 |                 0 |     18458509615 |      1510361 |          1 |      1510361 |    1222126 | 
| 1111415029 |                 0 |     18451704640 |       664748 |          1 |       664748 |    2775744 | 
| 1112332521 |                 0 |     18458948676 |      1583216 |          1 |      1583216 |    1165915 | 
| 1112353558 |                 0 |     18452242496 |       730067 |          1 |       730067 |    2527472 | 
| 1112698539 |                 0 |     18452514570 |       769471 |          1 |       769471 |    2398078 | 
| 1115512436 |                 0 |     23703629592 |      1569735 |          1 |      1569735 |    1510040 | 
| 1115512438 |                 0 |     18453475516 |       846403 |          1 |       846403 |    2180223 | 
| 1115514156 |                 0 |     18459338720 |      1586966 |          1 |      1586966 |    1163184 | 
| 1117642063 |                 0 |     18451097094 |       545595 |          1 |       545595 |    3381830 | 
| 1119301845 |                 0 |     18453585970 |       858276 |          1 |       858276 |    2150076 | 
| 1119668252 |                 0 |     18456622846 |      1237698 |          1 |      1237698 |    1491206 | 
| 1120330913 |                 0 |     18452446867 |       716110 |          1 |       716110 |    2576762 | 
| 1121468403 |                 0 |     18455014617 |      1038036 |          1 |      1038036 |    1777878 | 
| 1122456744 |                 0 |     18456694607 |      1274546 |          1 |      1274546 |    1448100 | 
| 1123578297 |                 0 |     18451409023 |       623593 |          1 |       623593 |    2958886 | 
| 1123801875 |                 0 |     18459403604 |      1811297 |          1 |      1811297 |    1019126 | 
| 1123801877 |                 0 |     18455329151 |      1811297 |          1 |      1811297 |    1018901 | 
| 1123801879 |                 0 |     18455329162 |      1811233 |          1 |      1811233 |    1018937 | 
| 1126226077 |                 0 |     18458749366 |      1514117 |          1 |      1514117 |    1219110 | 
| 1126590595 |                 0 |     18457681442 |      1396422 |          1 |      1396422 |    1321784 | 
| 1128041845 |                 0 |     18452925592 |      1663185 |          1 |      1663185 |    1109493 | 
| 1128209926 |                 0 |     18455555182 |      1172594 |          1 |      1172594 |    1573908 | 
| 1128494758 |                 0 |     18455317853 |      1194876 |          1 |      1194876 |    1544538 | 
| 1128876201 |                 0 |     20762686986 |      1782539 |          1 |      1782539 |    1164782 | 
| 1129296291 |                 0 |     30330586045 |      1818083 |          1 |      1818083 |    1668273 | 
| 1130304209 |                 0 |     18457052401 |      1364771 |          1 |      1364771 |    1352392 | 
| 1130931366 |                 0 |     18462439005 |      1978760 |          1 |      1978760 |     933031 | 
| 1132044959 |                 0 |     18452661406 |       760341 |          1 |       760341 |    2426893 | 
| 1132190172 |                 0 |     18455318709 |      2096620 |          1 |      2096620 |     880241 | 
| 1132318995 |                 0 |     18454813032 |      1012258 |          1 |      1012258 |    1823133 | 
